Pokemon,X,Y,Z
Outland Cacturne,1809,1105,1
Outland Cacturne,1804,1109,1
Outland Cacturne,1810,1112,1
Outland Cacturne,1800,1114,1
Outland Cacturne,1806,1116,1
Outland Cacturne,1809,1118,1
Outland Cacturne,1801,1120,1
Outland Cacturne,1805,1126,1
Outland Cacturne,1932,2780,1
Outland Cacturne,1927,2784,1
Outland Cacturne,1933,2787,1
Outland Cacturne,1923,2789,1
Outland Cacturne,1929,2791,1
Outland Cacturne,1932,2793,1
Outland Cacturne,1924,2795,1
Outland Cacturne,1928,2801,1
Outland Cacturne,1938,2928,1
Outland Cacturne,1933,2932,1
Outland Cacturne,1939,2935,1
Outland Cacturne,1929,2937,1
Outland Cacturne,1935,2939,1
Outland Cacturne,1938,2941,1
Outland Cacturne,1930,2943,1
Outland Cacturne,1934,2949,1
Machoke,1128,901,2
Machamp,1118,904,2
Machamp,1107,905,2
Machamp,1132,905,2
Machoke,1110,908,2
Machoke,1125,909,2
Machamp,1116,910,2
Machamp,1132,913,2
Machamp,1118,916,2
Machamp,1126,916,2
Machoke,1116,920,2
Machamp,1131,921,2
Machamp,1123,923,2
Machamp,1115,925,2
Machoke,1129,925,2
Machamp,1136,926,2
Machoke,1120,928,2
Machamp,1133,928,2
Machamp,1125,929,2
Gengar,1213,929,2
Gengar,1219,929,2
Haunter,1224,932,2
Gengar,1210,933,2
Gengar,1222,937,2
Gengar,1213,938,2
Gengar,1224,940,2
Haunter,1213,943,2
Gengar,1219,943,2
Outland Cacturne,1792,1075,2
Outland Cacturne,1800,1075,2
Outland Cacturne,1786,1077,2
Outland Cacturne,1805,1077,2
Outland Cacturne,1794,1079,2
Outland Cacturne,1799,1080,2
Outland Cacturne,1810,1080,2
Outland Cacturne,1785,1082,2
Outland Cacturne,1789,1082,2
Outland Cacturne,1804,1082,2
Outland Cacturne,1809,1083,2
Outland Cacturne,1786,1086,2
Outland Cacturne,1814,1086,2
Outland Cacturne,1812,1089,2
Outland Cacturne,1745,1090,2
Outland Cacturne,1750,1090,2
Outland Cacturne,1782,1090,2
Outland Cacturne,1817,1090,2
Outland Cacturne,1757,1091,2
Outland Cacturne,1820,1092,2
Outland Cacturne,1752,1093,2
Outland Cacturne,1774,1093,2
Outland Cacturne,1746,1094,2
Outland Cacturne,1817,1095,2
Outland Cacturne,1741,1096,2
Outland Cacturne,1758,1096,2
Outland Cacturne,1768,1096,2
Outland Cacturne,1812,1096,2
Outland Cacturne,1735,1097,2
Outland Cacturne,1780,1097,2
Outland Cacturne,1788,1097,2
Outland Cacturne,1806,1098,2
Outland Cacturne,1821,1098,2
Outland Cacturne,1738,1099,2
Outland Cacturne,1796,1099,2
Outland Cacturne,1815,1100,2
Outland Cacturne,1760,1101,2
Outland Cacturne,1801,1101,2
Outland Cacturne,1766,1102,2
Outland Cacturne,1774,1102,2
Outland Cacturne,1791,1102,2
Outland Cacturne,1820,1102,2
Outland Cacturne,1733,1103,2
Outland Cacturne,1779,1104,2
Outland Cacturne,1799,1105,2
Outland Cacturne,1818,1105,2
Outland Cacturne,1738,1106,2
Outland Cacturne,1758,1106,2
Outland Cacturne,1769,1106,2
Outland Cacturne,1794,1106,2
Outland Cacturne,1750,1108,2
Outland Cacturne,1796,1108,2
Outland Cacturne,1741,1111,2
Outland Cacturne,1760,1111,2
Outland Cacturne,1766,1111,2
Outland Cacturne,1790,1112,2
Outland Cacturne,1750,1113,2
Outland Cacturne,1754,1113,2
Outland Cacturne,1737,1114,2
Outland Cacturne,1745,1114,2
Outland Cacturne,1793,1114,2
Outland Cacturne,1754,1117,2
Outland Cacturne,1793,1118,2
Outland Cacturne,1742,1119,2
Outland Cacturne,1746,1119,2
Outland Hariyama,1756,1144,2
Outland Hariyama,1764,1144,2
Outland Hariyama,1776,1145,2
Outland Hariyama,1784,1145,2
Outland Hariyama,1780,1146,2
